,fiyat,m2_brut,m2_net,bulundugu_kat,kat_sayisi,banyo_sayisi,aidat,oda,salon,ilce_Arnavutköy,ilce_Ataşehir,ilce_Avcılar,ilce_Bahçelievler,ilce_Bakırköy,ilce_Bayrampaşa,ilce_Bağcılar,ilce_Başakşehir,ilce_Beykoz,ilce_Beylikdüzü,ilce_Beyoğlu,ilce_Beşiktaş,ilce_Büyükçekmece,ilce_Esenler,ilce_Esenyurt,ilce_Eyüpsultan,ilce_Fatih,ilce_Gaziosmanpaşa,ilce_Güngören,ilce_Kadıköy,ilce_Kartal,ilce_Kağıthane,ilce_Küçükçekmece,ilce_Maltepe,ilce_Pendik,ilce_Sancaktepe,ilce_Sarıyer,ilce_Silivri,ilce_Sultanbeyli,ilce_Sultangazi,ilce_Tuzla,ilce_Zeytinburnu,ilce_Çatalca,ilce_Çekmeköy,ilce_Ümraniye,ilce_Üsküdar,ilce_Şile,ilce_Şişli,bina_yasi_11-15 arası,bina_yasi_16-20 arası,bina_yasi_21-25 arası,bina_yasi_26-30 arası,bina_yasi_31 ve üzeri,bina_yasi_5-10 arası,isitma_Doğalgaz Sobası,isitma_Elektrikli Radyatör,isitma_Fancoil Ünitesi,isitma_Kat Kaloriferi,isitma_Klima,isitma_Merkezi,isitma_Merkezi (Pay Ölçer),isitma_Soba,isitma_VRV,isitma_Yerden Isıtma,isitma_Yok,balkon_Yok,esyali_Hayır,kullanim_durumu_Kiracılı,kullanim_durumu_Mülk Sahibi,site_icerisinde_Hayır,kimden_Sahibinden,kimden_İnşaat Firmasından,yaka_Avrupa,merkeze_yakin_Hayır,luks_mu_Hayır,yukseklik_ort-yük,yukseklik_yüksek,yukseklik_çok-yük,arakat_mi_Hayır
43,13000.0,148.0,120.0,11,13,2,1.25,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0
44,6450.0,125.0,110.0,4,5,1,150.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0
45,9500.0,134.0,97.0,7,31,1,1.05,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
46,8150.0,90.0,80.0,1,10,2,100.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
47,2250.0,90.0,70.0,2,5,1,50.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0
48,14000.0,180.0,125.0,0,8,2,962.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
49,8500.0,135.0,110.0,8,8,2,750.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
50,9000.0,100.0,90.0,3,3,1,225.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1
51,5000.0,80.0,75.0,1,5,1,30.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
52,10500.0,180.0,165.0,4,8,3,100.0,3.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
