,aciklama,ilce,mahalle,fiyat,m2_brut,m2_net,oda_sayisi,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,kullanim_durumu,site_icerisinde,aidat,kimden,yaka
78,yüzyil'dan öğrenci̇ye uygun merkeze yakin 1+0 stüdyo eşyali dai̇re,Üsküdar,Valide-i Atik Mh.,2850.0,40.0,25.0,Stüdyo (1+0),26-30 arası,Giriş Katı,4,Yok,1,Yok,Evet,Boş,Hayır,,Emlak Ofisinden,Anadolu
79,üsküdar ki̇ralik metro'ya 13dk aras bi̇rleşi̇k emlakcilar'dan,Üsküdar,Bulgurlu Mah.,10000.0,250.0,200.0,4+1,16-20 arası,5,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
80,feneryolu'nda yeni̇ bi̇nada ki̇ralik 2+1 dai̇re,Kadıköy,Feneryolu Mah.,13500.0,90.0,70.0,2+1,3,3,13,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Hayır,500.0,Emlak Ofisinden,Anadolu
81,kaynarca çamçeşme caddesi̇'ne paralel ki̇ralik 2+1 dai̇re,Pendik,Çamçeşme Mh.,5000.0,95.0,75.0,2+1,11-15 arası,2,3,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
82,kartal panorama full deni̇z manzarali güney cephe 3+1 ki̇ralik,Kartal,Karlıktepe Mh.,12000.0,220.0,113.0,3+1,1,15,20,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,740.0,İnşaat Firmasından,Anadolu
83,kwcadde'den marmados sahi̇l si̇tesi̇'nde ki̇ralik eşyali 3+1,Tuzla,Cami Mah.,6250.0,145.0,122.0,3+1,31 ve üzeri,1,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
84,bircan i̇nşaat'tan atatürk mah .2+1 130m2dai̇re açiklamayi okuyun!,Sancaktepe,Atatürk Mh.,5000.0,130.0,120.0,2+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
85,kozyataği kozal rezi̇dans da ki̇ralik 148m2 3+1 7/24 güvenli̇ dai̇re,Kadıköy,19 Mayıs Mh.,13000.0,148.0,120.0,3+1,11-15 arası,11,13,Doğalgaz (Kombi),2,Var,Hayır,Kiracılı,Evet,1.25,Emlak Ofisinden,Anadolu
86,maltepe zümrüt evlerde ara kat güney cephe 3+1 dai̇re,Maltepe,Zümrütevler Mh.,6450.0,125.0,110.0,3+1,5-10 arası,4,5,Doğalgaz (Kombi),1,Yok,Hayır,Kiracılı,Hayır,150.0,Emlak Ofisinden,Anadolu
87,ünalan metroya 150 metre eşyalı 200m2 yabancıya bekara uygun,Üsküdar,Ünalan Mh.,10500.0,210.0,200.0,3+1,16-20 arası,2,5,Doğalgaz (Kombi),2,Var,Evet,Mülk Sahibi,Hayır,,Emlak Ofisinden,Anadolu
88,e-5 vizyon kartal 7.kat 134 m2 güney cephe 3+1 ofis,Kartal,Esentepe Mah.,9500.0,134.0,97.0,3+1,5-10 arası,7,30 ve üzeri,Merkezi (Pay Ölçer),1,Yok,Hayır,Kiracılı,Evet,1.05,Emlak Ofisinden,Anadolu
89,oksijen deposu bölgede site i̇çi i̇skanlı 2+1 kiralık daire,Kartal,Yakacık Çarşı Mh.,8150.0,90.0,80.0,2+1,5-10 arası,1,10,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,100.0,Emlak Ofisinden,Anadolu
90,memura kiralık oda,Üsküdar,Mimar Sinan Mh.,2250.0,90.0,70.0,2+1,26-30 arası,2,5,Doğalgaz (Kombi),1,Var,Evet,Kiracılı,Hayır,50.0,Sahibinden,Anadolu
91,wroof kurtköy yeterlerden 3+1 180m2 bahçe kati ki̇ralik roof,Pendik,Yenişehir Mh.,14000.0,180.0,125.0,3+1,4,Bahçe Katı,8,Merkezi (Pay Ölçer),2,Yok,Hayır,Boş,Evet,962.0,Emlak Ofisinden,Anadolu
92,tt ekşoğlu beşyildiz 2 etap 135 m 3+1 havuz cephe 8 kat,Çekmeköy,Mimar Sinan Mah.,8500.0,135.0,110.0,3+1,16-20 arası,8,8,Doğalgaz (Kombi),2,Var,Hayır,Kiracılı,Evet,750.0,Emlak Ofisinden,Anadolu
93,acıbadem kiralık daire,Kadıköy,Acıbadem Mh.,9000.0,100.0,90.0,3+1,26-30 arası,3,3,Merkezi (Pay Ölçer),1,Var,Evet,Mülk Sahibi,Evet,225.0,Sahibinden,Anadolu
